10 234 2 11101010
2 11101010 10 234
10 193,11 3 21011,00222201201011121
3 21011,00222 10 193,10699589
10 0,45 4 0,1303030303032
4 0,1303 10 0,44921876
10 3,333333333 3 10,1
3 10,1 10 3,33333338
3 10,0222222 10 3,332876
9 88,88 9 88,88
5 0 7 0
7 0,0 5 0,0
5 303,3333 6 210,425424003
6 210,425424 5 303,33324444423
16 AC,DC 2 10101100,110111
2 10101100,1101100 16 AC,D8
16 ED,DA 4 3231,3122
4 3231,3121 16 ED,D9
16 AB,BA 8 253,564
8 253,56 16 AB,B8
8 666,66 4 12312,312
4 12312,3113 8 666,656
16 CAFE,BABE 13 1A865,96382
13 1A865,9636 16 CAFE,BAB90F
15 DEAD,BABE 12 23384,9461398
12 23384,9461 15 DEAD,BABD35
